Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,FC máxima,TE aeróbico,Cadencia media de pedaleo,Cadencia de pedaleo máxima,Velocidad media,Velocidad máxima,Ascenso total,Descenso total,Longitud media de zancada,Relación vertical media,Oscilación vertical media,Tiempo medio de contacto con el suelo,GAP medio,Cadencia media de pedaleo,Cadencia de pedaleo máxima,Normalized Power® (NP®),Training Stress Score®,Potencia media máxima (20 minutos),Potencia media,Potencia máxima,Paladas totales,Swolf medio,Velocidad media de palada,Pasos,Repeticiones totales,Series totales,Descarga de Body Battery,Temperatura mínima,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima,Ritmo respiratorio medio,Ritmo mínimo de respiración,Ritmo máximo de respiración,Cambio en estrés,Inicio del periodo de estrés,Fin del periodo de estrés,Estrés medio,Estrés máximo,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Ciclismo en sala,2026-03-17 22:55:16,false,"Ciclismo en sala","16.13","489","01:00:03","122","132","2.3","--","--","16.1","19.0","--","--","--","--","--","--","--","72","88","110","20.1","110","110","143","4305","--","--","--","--","--","-7","--","No","00:03:54.1","4","--","29","18","36","--","--","--","--","--","00:59:56","01:00:03","--","--"
Yoga,2026-03-17 14:55:23,false,"Yoga","--","50","00:15:01","81","97","0.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","1","-2","--","No","00:15:01","1","--","13","8","20","1","68","69","67","86","00:15:01","00:15:01","--","--"
Entreno de fuerza,2026-03-17 07:47:48,false,"Fuerza","0.00","261","00:47:20","96","136","0.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","202","101","16","-7","--","No","00:47:20","1","--","--","--","--","--","--","--","--","--","00:12:34","00:47:20","--","--"
Carrera,2026-03-17 07:26:11,false,"Chillán Carrera","2.03","163","00:12:10","136","159","2.1","167","176","5:59","4:54","7","16","1.00","8.7","8.7","277","6:01","--","--","344","0.0","--","335","486","--","--","--","2,014","--","--","-4","--","No","00:00:11.7","3","--","--","--","--","--","--","--","--","--","00:12:08","00:12:51","131","147"
Ciclismo,2026-03-16 13:56:15,false,"Chillán Ciclismo","5.20","137","00:22:43","108","124","0.6","--","--","13.7","24.0","34","17","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","-2","--","No","00:01:08.7","2","--","--","--","--","--","--","--","--","--","00:21:48","00:22:43","128","148"
Natación en piscina,2026-03-16 13:07:59,false,"Natación en piscina","800","322","00:31:26","123","150","2.2","--","--","2:23","2:14","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","449","66","24","--","--","--","--","--","No","00:00:15.0","34","--","--","--","--","--","--","--","--","--","00:19:05","00:31:38","--","--"
Ciclismo,2026-03-16 12:45:51,false,"Chillán Ciclismo","5.41","144","00:16:39","125","140","1.4","--","--","19.5","29.1","25","41","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","-4","--","No","00:01:36.7","2","--","--","--","--","--","--","--","--","--","00:16:20","00:16:39","120","143"
Carrera,2026-03-14 10:40:02,false,"Chillán Carrera","5.01","379","00:39:03","122","138","2.2","155","177","7:48","4:52","208","191","0.81","9.8","7.8","292","7:10","--","--","377","0.0","--","291","779","--","--","--","6,144","--","--","-4","--","No","00:00:04.2","6","--","29","20","38","--","--","--","--","--","00:37:39","00:42:31","90","136"
Ciclismo,2026-03-14 07:40:56,false,"Chillán Ciclismo","77.20","1,329","02:36:45","141","165","4.0","--","--","29.6","45.9","264","234","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","-23","--","No","00:05:14.8","16","--","33","17","43","--","--","--","--","--","02:36:21","02:49:03","125","288"
Entreno de fuerza,2026-03-13 19:47:18,false,"Fuerza","0.00","195","00:37:00","94","140","0.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","316","158","17","-3","--","No","00:37:00","1","--","--","--","--","--","--","--","--","--","00:15:01","00:37:00","--","--"
Yoga,2026-03-13 09:16:46,false,"Yoga","--","74","00:35:01","68","105","0.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","1","-3","--","No","00:35:01","1","--","14","10","20","44","33","77","31","90","00:35:01","00:35:01","--","--"
Ciclismo en sala,2026-03-12 22:17:18,false,"Ciclismo en sala","11.15","501","00:44:34","155","171","3.3","--","--","15.0","25.0","--","--","--","--","--","--","--","77","100","171","36.1","178","161","268","3390","--","--","--","--","--","-8","--","No","00:05:26.6","3","--","32","22","40","--","--","--","--","--","00:44:18","00:44:34","--","--"
Ciclismo,2026-03-11 13:43:14,false,"Chillán Ciclismo","6.12","145","00:24:01","106","147","0.8","--","--","15.3","26.1","124","68","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","-1","--","No","00:04:07.4","2","--","--","--","--","--","--","--","--","--","00:23:38","00:24:01","122","238"
Natación en piscina,2026-03-11 12:59:27,false,"Natación en piscina","1,000","374","00:30:54","132","147","2.6","--","--","2:36","2:20","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","637","73","25","--","--","--","--","--","No","00:00:00.4","12","--","--","--","--","--","--","--","--","--","00:25:58","00:31:07","--","--"
Ciclismo,2026-03-11 12:32:45,false,"Chillán Ciclismo","5.36","152","00:18:23","121","141","1.4","--","--","17.5","25.6","32","48","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","-2","--","No","00:01:35.9","2","--","--","--","--","--","--","--","--","--","00:17:55","00:18:23","117","141"
